City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
559,Rio Grande,BR,75.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
561,San Policarpo,PH,82.08,few clouds,12.1791,125.5072,JM Lodge
563,Sur,OM,88.34,clear sky,22.5667,59.5289,Sur Plaza Hotel
564,Muisne,EC,82.51,broken clouds,0.6,-80.0333,Quinta Samay
567,Karratha,AU,74.89,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
570,Sinjar,IQ,85.57,clear sky,36.3209,41.8754,زوماني فون 1
572,Iquitos,PE,89.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
578,Rio De Janeiro,BR,81.32,clear sky,-22.9028,-43.2075,Hotel Málaga
579,Zhuhai,CN,86.05,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
581,Honiara,SB,76.17,overcast clouds,-9.4333,159.95,Heritage Park Hotel
582,Moerai,PF,77.61,light rain,-22.4333,-151.3333,Le Manotel
583,Eyl,SO,80.31,overcast clouds,7.9803,49.8164,Amiin Hotel
585,Castelldefels,ES,72.97,clear sky,41.2779,1.9703,Gran Hotel Rey Don Jaime
586,Nueva Gerona,CU,83.55,overcast clouds,21.8833,-82.8,Villa Gerona
587,Vanimo,PG,78.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
590,Badia Polesine,IT,70.45,clear sky,45.0972,11.4916,The Ship Hotel
593,Nam Dinh,VN,80.13,overcast clouds,20.4167,106.1667,Khách sạn Dệt
595,Liku,ID,75.7,scattered clouds,-0.7275,119.8922,Kost Raisa & homestay
596,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
600,Carpinteria,US,86.13,clear sky,34.3989,-119.5185,"Holiday Inn Express & Suites Carpinteria, an IHG Hotel"
604,Sitrah,BH,89.82,clear sky,26.1547,50.6206,Al Bander Resort - منتجع البندر
605,San Jose,US,77.77,few clouds,37.3394,-121.895,The Westin San Jose
608,Tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
609,Mumford,GH,81.46,overcast clouds,5.2618,-0.759,Spanish Villa
610,Luganville,VU,70.59,few clouds,-15.5333,167.1667,The Espiritu Hotel
614,Lata,PT,73.72,overcast clouds,40.1629,-8.3327,Casa Maquia
615,San Juan,AR,76.73,overcast clouds,-31.5375,-68.5364,Hotel Provincial
617,Mudkhed,IN,85.57,overcast clouds,19.1667,77.5167,Shaikh Shahid's Home
624,Teixeira,BR,81.81,overcast clouds,-7.2228,-37.2542,Hotel da Serra
625,Dingtao,CN,72.93,clear sky,35.0683,115.5625,VX Heze Dingtao District Taoyi Road Hotel
626,Bloomfield,US,84.78,clear sky,40.8068,-74.1854,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
627,Lorengau,PG,78.13,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
628,Hata,IN,74.43,heavy intensity rain,26.7461,83.7403,Dr. S. K. Gupta
630,Axim,GH,81.36,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
631,Balabac,PH,81.68,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
632,Miraflores,MX,75.96,overcast clouds,19.2167,-98.8083,Hotel Mansión
633,Ziarat,PK,70.79,overcast clouds,30.3823,67.7282,Pakiza Guest House
635,Srisailam,IN,86.43,overcast clouds,16.0833,78.8667,Vasavi Satram
637,Healdsburg,US,86.97,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
643,Oussouye,SN,81.09,clear sky,12.485,-16.5469,Auberge du Routard
644,Sandakan,MY,77.14,scattered clouds,5.8402,118.1179,Hotel Sandakan
645,Santa Cruz,BO,85.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
651,Cozumel,MX,88.0,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
664,Song Phi Nong,TH,78.96,overcast clouds,14.2241,100.0209,แฮปปี้เฮ้าส์ รีสอร์ท
665,Korla,CN,76.98,scattered clouds,41.7597,86.1469,Gulisitan Hotel
666,Grajau,BR,89.31,few clouds,-5.8194,-46.1386,Hotel Confiança
670,Veraval,IN,85.37,overcast clouds,20.9,70.3667,Lords Inn Somnath
672,Aquiraz,BR,84.29,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
673,Tecoanapa,MX,88.16,overcast clouds,16.5167,-98.75,Hotel Manglares
677,Changde,CN,70.21,overcast clouds,29.0464,111.6783,Kangshida Hotel
681,Morondava,MG,73.08,clear sky,-20.2833,44.2833,La Case Bambou
682,Santa Isabel Do Rio Negro,BR,86.2,scattered clouds,-0.4139,-65.0192,Hotel GSA
686,Chateaubelair,VC,82.92,few clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
688,Mizdah,LY,86.4,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
689,Arroyo,ES,75.24,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
690,Yangjiang,CN,80.06,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
691,Maumere,ID,78.82,few clouds,-8.6199,122.2111,Sylvia Hotel
